_id,username,password,serialNumber,fullName,roomNumber,branch,batch,gender,mobileNumber,enrollmentNumber
66bc893e69f8defd44918e25,Wyatt.Larkin,t6J0vgZUTSLYWFh,1,Forrest Fisher,61,Mechanical,2015,Male,6282301745,6328
66bc91a7880716790969d865,Wilfred_Weissnat53,EjREaJwdYERNPVC,2,Randolph Bosco,19,Computer Science,2019,Female,5494618250,7245
66bc91b6880716790969d86c,Lina_Beier,FRDKh7Wfhjt6hVp,3,Jessica Gorczany,70,Computer Science,2021,Male,3033754704,8649
66bc91d4880716790969d87a,Mable_Kshlerin61,ExtHrCD5bv2FogA,4,Pat Pollich,44,Computer Science,2010,Female,9807840748,7172
66bd136a86f72995c6a81285,Norma_Hilpert68,XjbOFHsDyqpZDdR,5,Christy Quitzon,43,Computer Science,2021,Male,960511295,7166
66be17ccf1da91111c169d71,Myriam.Fay,rIvZAYbrBF4hD4Y,6,Arthur Johns,77,Mechanical,2017,Female,1788162317,5850
66bc893e69f8defd44918e26,Genoveva.Cassin,zlmXwCwnBcSeR2I,7,Carlos Hegmann,39,Computer Science,2018,Male,8738090118,2911
66bc91a7880716790969d866,Aylin.Ward88,wPWyqClr86_2BV3,8,Marvin Crooks PhD,41,Electrical,2013,Female,622562123,7225
66bc91b6880716790969d86c,Daisy18,0A3zrkBForNoeki,9,Dr. Thomas Lubowitz,11,Civil,2021,Male,7225980066,2313
66bc91d4880716790969d87a,Troy72,HNCCrL5h5_xdbc9,10,Pete Schimmel,49,Computer Science,2018,Female,1899973878,4465
66bd136a86f72995c6a81286,Cara95,m_bIIKj3QBcQ732,11,Evelyn Roob,81,Electrical,2013,Male,1476283484,3882
66be17ccf1da91111c169d72,Leila19,jPG5imuH5RHPT0W,12,Dewey Erdman,30,Computer Science,2016,Female,4775030321,6908
66bc893e69f8defd44918e27,Kody_Padberg,7k4_hq6KrEAa9pF,13,Ted Streich,19,Computer Science,2014,Male,5019013732,7378
66bc91a7880716790969d867,Otha_Barrows42,zdYkFxB7FDtwe9U,14,Margarita Gerhold IV,43,Civil,2014,Female,4378468285,3009
66bc91b6880716790969d86c,Damien_Steuber,EitaDOjPs72dXD5,15,Thelma Goldner-Predovic,18,Civil,2020,Male,7784019455,4376
66bc91d4880716790969d87a,Gavin.Pouros56,ZV_YX7p6TUEq8ag,16,Mr. Brad Parker I,74,Computer Science,2019,Female,2934902138,1350
66bd136a86f72995c6a81287,Talon_Hayes3,bwIAmubegTm20wn,17,Gregory Skiles,87,Mechanical,2021,Male,322543073,5755
